No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
172,ABERDARE FOREST,48,- ,-,- ,-,44,91.7,4,8.3,- ,-,- ,-
173,KIRINYAGA ,61325,1397,2.3,288,0.5,517,0.8,1392,2.3,57282,93.4,449,0.7
174,KIRINYAGA CENTRAL,10,462,4.4,100,0.9,73,0.7,463,4.4,9363,88.6,109,1
175,KIRINYAGA EAST,7739,148,1.9,12,0.2,29,0.4,231,3,7262,93.8,57,0.7
176,KIRINYAGA WEST,1082,245,2.3,109,1,77,0.7,210,1.9,10068,93,118,1.1
177,MWEA EAST,2145,404,1.9,20,0.1,246,1.1,344,1.6,20366,94.9,72,0.3
178,MWEA WEST,1071,119,1.1,47,0.4,92,0.9,140,1.3,10223,95.4,93,0.9
179,MT. KENYA FOREST,,19,82.6,- ,-,- ,-,4,17.4,- ,-,- ,-
180,MURANG'A ,75177,1966,2.6,292,0.4,583,0.8,5834,7.8,65898,87.7,604,0.8
181,MURANG'A EAST,1239,542,4.4,96,0.8,29,0.2,304,2.5,11355,91.6,64,0.5
182,KANGEMA ,4052,137,3.4,4,0.1,69,1.7,171,4.2,3627,89.5,44,1.1
183,MATHIOYA ,3858,102,2.6,14,0.4,84,2.2,197,5.1,3395,88,66,1.7
184,KAHURO ,2604,97,3.7,16,0.6,72,2.8,34,1.3,2331,89.5,54,2.1
185,MURANG'A SOUTH,175,397,2.3,54,0.3,54,0.3,1015,5.8,15900,90.8,98,0.6
186,GATANGA ,17085,342,2,78,0.5,140,0.8,3760,22,12614,73.8,151,0.9
187,KIGUMO ,8282,188,2.3,11,0.1,84,1,246,3,7714,93.1,39,0.5
188,KANDARA ,9378,155,1.7,19,0.2,51,0.5,103,1.1,8962,95.6,88,0.9
189,ABERDARE FOREST,10,6,60,- ,-,- ,-,4,40,- ,-,- ,-
190,KIAMBU ,498012,6371,1.3,3587,0.7,2529,0.5,27933,5.6,454827,91.3,2765,0.6
191,GATUNDU NORTH,647,135,2.1,37,0.6,75,1.2,237,3.7,5926,91.5,65,1
